spillLogEntryTime run dataLog
07-Oct-2010 07:11:00 21218 9161
07-Oct-2010 07:12:00 21219 9162
07-Oct-2010 07:20:00 21220 9163
07-Oct-2010 07:31:00 21221 9164
07-Oct-2010 07:42:00 21222 9165
07-Oct-2010 07:54:00 21223 9166
07-Oct-2010 08:03:00 21224 9167
07-Oct-2010 08:09:00 21225 9168
07-Oct-2010 08:19:00 21226 9169
07-Oct-2010 08:38:00 21227 9170
07-Oct-2010 08:47:00 21228 9171
07-Oct-2010 08:58:00 21229 9172
07-Oct-2010 09:08:00 21230 9173
07-Oct-2010 09:18:00 21231 9174
07-Oct-2010 09:28:00 21232 9175
07-Oct-2010 09:38:00 21233 9176
07-Oct-2010 09:45:00 21234 9177
07-Oct-2010 09:55:00 21235 9178
07-Oct-2010 10:02:00 21236 9179
07-Oct-2010 10:12:00 21237 9180
07-Oct-2010 10:25:00 21238 9181
07-Oct-2010 10:33:00 21239 9182
07-Oct-2010 10:43:00 21240 9183
07-Oct-2010 10:57:00 21241 9184
07-Oct-2010 11:07:00 21242 9185
07-Oct-2010 11:17:00 21243 9186
07-Oct-2010 11:28:00 21244 9187
07-Oct-2010 11:30:00 21245 9188
07-Oct-2010 11:42:00 21246 9189
07-Oct-2010 11:48:00 21247 9190
07-Oct-2010 11:56:00 21248 9191
07-Oct-2010 12:12:00 21249 9192
07-Oct-2010 12:26:00 21250 9193
07-Oct-2010 12:35:00 21251 9194
07-Oct-2010 12:49:00 21252 9195
07-Oct-2010 12:59:00 21253 9196
07-Oct-2010 13:08:00 21254 9197
07-Oct-2010 13:20:00 21255 9198
07-Oct-2010 13:34:00 21256 9199
07-Oct-2010 13:48:00 21257 9200
07-Oct-2010 14:01:00 21258 9201
07-Oct-2010 14:09:00 21259 9202
07-Oct-2010 14:10:00 21260 9203
07-Oct-2010 14:22:00 21261 9204
07-Oct-2010 14:36:00 21262 9205
07-Oct-2010 14:49:00 21263 9206
07-Oct-2010 15:02:00 21264 9207
07-Oct-2010 15:16:00 21265 9208
07-Oct-2010 15:29:00 21266 9209
08-Oct-2010 07:16:00 21267 9210
08-Oct-2010 07:28:00 21268 9211
08-Oct-2010 07:38:00 21269 9212
08-Oct-2010 07:50:00 21270 9213
08-Oct-2010 07:54:00 21271 9214
08-Oct-2010 07:57:00 21272 9215
08-Oct-2010 08:07:00 21273 9216
08-Oct-2010 08:12:00 21274 9217
08-Oct-2010 08:22:00 21275 9218
08-Oct-2010 08:32:00 21276 9219
08-Oct-2010 08:41:00 21277 9220
08-Oct-2010 08:51:00 21278 9221
08-Oct-2010 09:06:00 21279 9222
08-Oct-2010 09:13:00 21280 9223
08-Oct-2010 09:24:00 21281 9224
08-Oct-2010 09:33:00 21282 9225
08-Oct-2010 09:42:00 21283 9226
08-Oct-2010 09:52:00 21284 9227
08-Oct-2010 10:01:00 21285 9228
08-Oct-2010 10:16:00 21286 9229
08-Oct-2010 10:31:00 21287 9230
08-Oct-2010 10:47:00 21288 9231
08-Oct-2010 11:02:00 21289 9232
08-Oct-2010 11:15:00 21290 9233
08-Oct-2010 11:56:00 21291 9234
08-Oct-2010 12:07:00 21292 9235
08-Oct-2010 12:17:00 21293 9236
08-Oct-2010 12:31:00 21294 9237
08-Oct-2010 12:46:00 21295 9238
08-Oct-2010 13:03:00 21296 9239
08-Oct-2010 13:17:00 21297 9240
08-Oct-2010 13:32:00 21298 9241
08-Oct-2010 13:47:00 21299 9242
08-Oct-2010 14:01:00 21300 9243
08-Oct-2010 14:16:00 21301 9244
08-Oct-2010 14:32:00 21302 9245
08-Oct-2010 14:45:00 21303 9246
08-Oct-2010 14:59:00 21304 9247
08-Oct-2010 15:14:00 21305 9248
09-Oct-2010 07:08:00 21306 9249
09-Oct-2010 07:23:00 21307 9250
09-Oct-2010 07:38:00 21308 9251
09-Oct-2010 07:48:00 21309 9252
09-Oct-2010 08:03:00 21310 9253
09-Oct-2010 08:20:00 21311 9254
09-Oct-2010 08:30:00 21312 9255
09-Oct-2010 08:41:00 21313 9256
09-Oct-2010 08:46:00 21314 9257
09-Oct-2010 08:58:00 21315 9258
09-Oct-2010 09:12:00 21316 9259
09-Oct-2010 09:27:00 21317 9260
09-Oct-2010 09:37:00 21318 9261
09-Oct-2010 09:49:00 21319 9262
09-Oct-2010 10:00:00 21320 9263
09-Oct-2010 10:02:00 21321 9264
09-Oct-2010 10:20:00 21322 9265
09-Oct-2010 10:28:00 21323 9266
09-Oct-2010 10:38:00 21324 9267
09-Oct-2010 10:52:00 21325 9268
09-Oct-2010 11:00:00 21326 9269
09-Oct-2010 11:11:00 21327 9270
09-Oct-2010 11:21:00 21328 9271
09-Oct-2010 11:31:00 21329 9272
09-Oct-2010 11:45:00 21330 9273
09-Oct-2010 12:03:00 21331 9274
09-Oct-2010 12:13:00 21332 9275
09-Oct-2010 12:23:00 21333 9276
09-Oct-2010 12:41:00 21334 9277
09-Oct-2010 12:53:00 21335 9278
09-Oct-2010 13:09:00 21336 9279
09-Oct-2010 13:25:00 21337 9280
09-Oct-2010 13:39:00 21338 9281
09-Oct-2010 13:53:00 21339 9282
09-Oct-2010 14:07:00 21340 9283
09-Oct-2010 14:21:00 21341 9284
09-Oct-2010 14:36:00 21342 9285
09-Oct-2010 14:50:00 21343 9286
09-Oct-2010 15:04:00 21344 9287
09-Oct-2010 15:20:00 21345 9288
09-Oct-2010 15:34:00 21346 9289
09-Oct-2010 15:44:00 21347 9290
09-Oct-2010 15:54:00 21348 9291
09-Oct-2010 16:03:00 21349 9292
09-Oct-2010 16:13:00 21350 9293
09-Oct-2010 16:14:00 21351 9294
09-Oct-2010 16:23:00 21352 9295
09-Oct-2010 16:33:00 21353 9296
09-Oct-2010 16:47:00 21354 9297
09-Oct-2010 17:01:00 21355 9298
10-Oct-2010 11:41:00 21356 9299
10-Oct-2010 11:51:00 21357 9300
10-Oct-2010 12:02:00 21358 9301
10-Oct-2010 12:13:00 21359 9302
10-Oct-2010 12:24:00 21360 9303
10-Oct-2010 12:35:00 21361 9304
10-Oct-2010 12:45:00 21362 9305
10-Oct-2010 12:54:00 21363 9306
10-Oct-2010 13:02:00 21364 9307
10-Oct-2010 13:13:00 21365 9308
10-Oct-2010 13:21:00 21366 9309
10-Oct-2010 13:31:00 21367 9310
10-Oct-2010 13:42:00 21368 9311
10-Oct-2010 13:51:00 21369 9312
10-Oct-2010 14:03:00 21370 9313
10-Oct-2010 14:13:00 21371 9314
10-Oct-2010 14:24:00 21372 9315
10-Oct-2010 14:34:00 21373 9316
10-Oct-2010 14:45:00 21374 9317
10-Oct-2010 14:56:00 21375 9318
10-Oct-2010 15:08:00 21376 9319
10-Oct-2010 15:24:00 21377 9320
10-Oct-2010 15:40:00 21378 9321
10-Oct-2010 15:56:00 21379 9322
10-Oct-2010 16:13:00 21380 9323
10-Oct-2010 16:30:00 21381 9324
10-Oct-2010 16:40:00 21382 9325
10-Oct-2010 16:53:00 21383 9326
10-Oct-2010 17:10:00 21384 9327
10-Oct-2010 17:18:00 21385 9328
10-Oct-2010 17:30:00 21386 9329
10-Oct-2010 17:44:00 21387 9330
10-Oct-2010 18:02:00 21388 9331
10-Oct-2010 18:17:00 21389 9332
10-Oct-2010 18:33:00 21390 9333
10-Oct-2010 18:48:00 21391 9334
10-Oct-2010 19:04:00 21392 9335
10-Oct-2010 19:21:00 21393 9336
10-Oct-2010 19:38:00 21394 9337
10-Oct-2010 19:52:00 21395 9338
10-Oct-2010 20:10:00 21396 9339
10-Oct-2010 20:24:00 21397 9340
10-Oct-2010 20:41:00 21398 9341
10-Oct-2010 20:55:00 21399 9342
10-Oct-2010 21:13:00 21400 9343
11-Oct-2010 15:27:00 21401 9344
11-Oct-2010 15:37:00 21402 9345
11-Oct-2010 15:41:00 21403 9346
11-Oct-2010 15:52:00 21404 9347
11-Oct-2010 16:04:00 21405 9348
11-Oct-2010 16:14:00 21406 9349
11-Oct-2010 16:25:00 21407 9350
11-Oct-2010 16:35:00 21408 9351
11-Oct-2010 16:43:00 21409 9352
11-Oct-2010 16:54:00 21410 9353
11-Oct-2010 17:03:00 21411 9354
11-Oct-2010 17:13:00 21412 9355
11-Oct-2010 17:41:00 21413 9356
11-Oct-2010 17:52:00 21414 9357
11-Oct-2010 18:08:00 21415 9358
11-Oct-2010 18:24:00 21416 9359
11-Oct-2010 18:41:00 21417 9360
11-Oct-2010 18:57:00 21418 9361
11-Oct-2010 19:14:00 21419 9362
11-Oct-2010 19:31:00 21420 9363
11-Oct-2010 19:46:00 21421 9364
11-Oct-2010 19:58:00 21422 9365
11-Oct-2010 20:07:00 21423 9366
11-Oct-2010 20:18:00 21424 9367
11-Oct-2010 20:28:00 21425 9368
11-Oct-2010 20:43:00 21426 9369
11-Oct-2010 20:56:00 21427 9370
11-Oct-2010 21:06:00 21428 9371
11-Oct-2010 21:16:00 21429 9372
11-Oct-2010 21:26:00 21430 9373
11-Oct-2010 21:36:00 21431 9374
11-Oct-2010 21:46:00 21432 9375
11-Oct-2010 22:01:00 21433 9376
11-Oct-2010 22:16:00 21434 9377
11-Oct-2010 22:31:00 21435 9378
11-Oct-2010 22:46:00 21436 9379
11-Oct-2010 23:04:00 21437 9380
11-Oct-2010 23:19:00 21438 9381
12-Oct-2010 15:16:00 21439 9382
12-Oct-2010 15:48:00 21440 9383
12-Oct-2010 16:11:00 21441 9384
12-Oct-2010 16:23:00 21442 9385
12-Oct-2010 16:29:00 21443 9386
12-Oct-2010 16:38:00 21444 9387
12-Oct-2010 16:50:00 21445 9388
12-Oct-2010 17:01:00 21446 9389
12-Oct-2010 17:08:00 21447 9390
12-Oct-2010 17:20:00 21448 9391
12-Oct-2010 17:24:00 21449 9392
12-Oct-2010 17:35:00 21450 9393
12-Oct-2010 17:41:00 21451 9394
12-Oct-2010 17:52:00 21452 9395
12-Oct-2010 18:03:00 21453 9396
12-Oct-2010 18:13:00 21454 9397
12-Oct-2010 18:16:00 21455 9398
12-Oct-2010 18:26:00 21456 9399
12-Oct-2010 18:36:00 21457 9400
12-Oct-2010 18:46:00 21458 9401
12-Oct-2010 18:55:00 21459 9402
12-Oct-2010 19:06:00 21460 9403
12-Oct-2010 19:15:00 21461 9404
12-Oct-2010 19:25:00 21462 9405
12-Oct-2010 19:38:00 21463 9406
12-Oct-2010 19:49:00 21464 9407
12-Oct-2010 20:04:00 21465 9408
12-Oct-2010 20:21:00 21466 9409
12-Oct-2010 20:38:00 21467 9410
12-Oct-2010 20:56:00 21468 9411
12-Oct-2010 21:12:00 21469 9412
12-Oct-2010 21:28:00 21470 9413
12-Oct-2010 21:45:00 21471 9414
12-Oct-2010 22:02:00 21472 9415
12-Oct-2010 22:18:00 21473 9416
12-Oct-2010 22:25:00 21474 9417
12-Oct-2010 22:35:00 21475 9418
12-Oct-2010 22:52:00 21476 9419
12-Oct-2010 22:56:00 21477 9420
12-Oct-2010 23:00:00 21478 9421
13-Oct-2010 15:21:00 21479 9422
13-Oct-2010 15:25:00 21480 9423
13-Oct-2010 15:35:00 21481 9424
13-Oct-2010 16:08:00 21483 9425
13-Oct-2010 16:20:00 21484 9426
13-Oct-2010 16:28:00 21485 9427
13-Oct-2010 16:39:00 21486 9428
13-Oct-2010 16:50:00 21487 9429
13-Oct-2010 17:01:00 21488 9430
13-Oct-2010 17:20:00 21489 9431
13-Oct-2010 18:47:00 21490 9432
14-Oct-2010 15:33:00 21491 9433
14-Oct-2010 15:54:00 21492 9434
14-Oct-2010 16:15:00 21493 9435
14-Oct-2010 16:24:00 21494 9436
14-Oct-2010 17:43:00 21495 9437
14-Oct-2010 18:01:00 21496 9438
14-Oct-2010 18:08:00 21497 9439
14-Oct-2010 18:32:00 21498 9440
14-Oct-2010 18:45:00 21499 9441
14-Oct-2010 18:57:00 21500 9442
14-Oct-2010 19:08:00 21501 9443
14-Oct-2010 19:14:00 21502 9444
14-Oct-2010 19:16:00 21503 9445
14-Oct-2010 19:30:00 21504 9446
14-Oct-2010 19:39:00 21505 9447
14-Oct-2010 19:50:00 21506 9448
14-Oct-2010 20:00:00 21507 9449
14-Oct-2010 20:11:00 21508 9450
14-Oct-2010 20:22:00 21509 9451
14-Oct-2010 20:37:00 21510 9452
14-Oct-2010 20:52:00 21511 9453
14-Oct-2010 21:01:00 21512 9454
14-Oct-2010 21:14:00 21513 9455
14-Oct-2010 21:29:00 21514 9456
14-Oct-2010 21:42:00 21515 9457
14-Oct-2010 21:49:00 21516 9458
14-Oct-2010 21:58:00 21517 9459
14-Oct-2010 21:59:00 21518 9460
14-Oct-2010 22:14:00 21519 9461
15-Oct-2010 15:13:00 21523 9462
15-Oct-2010 15:17:00 21524 9463
15-Oct-2010 15:28:00 21525 9464
15-Oct-2010 15:37:00 21526 9465
15-Oct-2010 16:20:00 21529 9466
15-Oct-2010 16:31:00 21530 9467
15-Oct-2010 16:40:00 21531 9468
15-Oct-2010 16:49:00 21532 9469
15-Oct-2010 16:59:00 21533 9470
15-Oct-2010 17:10:00 21534 9471
